time,month,chl,phyc,no3,sst
2001-01-01,1,0.2890139,1.3634622,0.519481,14.218913
2001-02-01,2,0.26596358,1.5544844,0.4462585,13.857048
2001-03-01,3,0.20804349,1.3815546,0.37771115,14.676394
2001-04-01,4,0.17771988,1.1082726,0.31718186,15.995656
2001-05-01,5,0.12776335,0.80958503,0.28579482,18.276258
2001-06-01,6,0.12867814,0.70664597,0.26232147,21.54227
2001-07-01,7,0.12338996,0.5351356,0.24606797,24.08981
2001-08-01,8,0.12876442,0.4842791,0.2622926,24.851843
2001-09-01,9,0.17764524,0.5868664,0.32081133,24.072393
2001-10-01,10,0.20061669,0.54781145,0.41135353,21.61141
2001-11-01,11,0.23004827,0.65766966,0.62824947,17.677002
2001-12-01,12,0.26730672,0.98511857,1.0534853,14.459695
2002-01-01,1,0.32086465,1.6810335,1.0247834,13.241002
2002-02-01,2,0.306262,1.8992441,0.37575924,14.35123
2002-03-01,3,0.18773784,1.224199,0.25457168,14.863549
2002-04-01,4,0.18957663,1.2673556,0.20371059,15.261564
2002-05-01,5,0.16285782,1.0850343,0.16428453,18.403713
2002-06-01,6,0.1133287,0.69064116,0.18623964,21.784422
2002-07-01,7,0.14547455,0.63874584,0.13982165,25.044182
2002-08-01,8,0.15004428,0.5705474,0.15411994,26.09033
2002-09-01,9,0.17186297,0.5820954,0.17901267,23.787514
2002-10-01,10,0.22081983,0.58069766,0.23868732,21.719044
2002-11-01,11,0.26852167,0.71611214,0.3054939,19.168566
2002-12-01,12,0.36111033,1.2404327,0.42810562,15.982972
2003-01-01,1,0.37744328,1.8247508,0.8384711,14.668053
2003-02-01,2,0.37998143,1.9632545,1.1662313,13.02802
2003-03-01,3,0.3280892,2.2524288,0.9569467,12.674481
2003-04-01,4,0.2436419,1.8539323,0.6907911,14.114036
2003-05-01,5,0.16026509,1.3713343,0.47470707,19.077814
2003-06-01,6,0.14243,0.82513255,0.4075541,21.973404
2003-07-01,7,0.13190177,0.59496164,0.3939885,24.08529
2003-08-01,8,0.16349204,0.6270048,0.39449233,23.99345
2003-09-01,9,0.16455679,0.5690037,0.5373277,22.632227
2003-10-01,10,0.24237366,0.68276155,0.6962792,20.60908
2003-11-01,11,0.26402622,0.8114377,1.0089598,18.004297
2003-12-01,12,0.3307738,1.2451544,1.5415658,15.550468
2004-01-01,1,0.35519645,1.7001425,1.6923875,13.928908
2004-02-01,2,0.36356634,1.9317448,1.3092674,13.267669
2004-03-01,3,0.27848646,1.8831831,0.86882615,13.644498
2004-04-01,4,0.19385612,1.5335013,0.4410543,15.048289
2004-05-01,5,0.14102855,1.0693959,0.2976428,17.935715
2004-06-01,6,0.11731659,0.71614134,0.28255346,21.732143
2004-07-01,7,0.14188565,0.6223511,0.2210967,23.302717
2004-08-01,8,0.14635375,0.5982944,0.28232193,24.136353
2004-09-01,9,0.18927418,0.62975353,0.34035313,21.79662
2004-10-01,10,0.21308275,0.63390243,0.46152043,20.697739
2004-11-01,11,0.21108462,0.6067364,0.6403842,19.334019
2004-12-01,12,0.2827931,1.0617367,1.0563263,16.12578
2005-01-01,1,0.3299472,1.620365,1.2584418,14.413384
2005-02-01,2,0.35023174,2.0206501,0.95327634,13.072106
2005-03-01,3,0.34914854,2.2619247,0.5772109,13.803324
2005-04-01,4,0.22100173,1.7489715,0.34722626,15.00137
2005-05-01,5,0.13536772,1.119896,0.23253284,18.522318
2005-06-01,6,0.13779587,0.8282763,0.23943777,21.599236
2005-07-01,7,0.14165798,0.6524197,0.21223298,24.145916
2005-08-01,8,0.16200387,0.642216,0.24093542,24.789137
2005-09-01,9,0.17527047,0.63519114,0.29715973,22.763468
2005-10-01,10,0.2556992,0.737126,0.4143016,20.364422
2005-11-01,11,0.29465494,0.9002145,0.63348603,16.62396
2005-12-01,12,0.33945385,1.3410519,1.0363321,14.710392
2006-01-01,1,0.31496975,1.6350398,1.7356657,12.829232
2006-02-01,2,0.29326892,1.7983397,2.190374,12.247924
2006-03-01,3,0.32018846,1.823874,2.2293298,13.293036
2006-04-01,4,0.25355524,1.5401828,2.1538718,15.09009
2006-05-01,5,0.16817889,1.0308329,2.028887,17.74499
2006-06-01,6,0.13251157,0.68953454,1.7863605,21.674025
2006-07-01,7,0.16212092,0.6424548,1.183875,22.239985
2006-08-01,8,0.14656647,0.61477137,0.7858805,24.778378
2006-09-01,9,0.17596598,0.5888352,0.65491503,22.4283
2006-10-01,10,0.2574313,0.67802876,0.7797967,20.52816
2006-11-01,11,0.3083527,0.752873,1.0878985,17.701195
2006-12-01,12,0.25313306,0.87577116,2.2079947,15.627759
2007-01-01,1,0.2753668,1.4356147,2.8710554,13.864736
2007-02-01,2,0.34197548,1.8627638,2.4962363,13.279588
2007-03-01,3,0.25762483,1.802852,2.0096881,13.618348
2007-04-01,4,0.22495167,1.5745287,1.6659422,14.745675
2007-05-01,5,0.15585418,1.0931246,1.3776398,18.07205
2007-06-01,6,0.12595043,0.74920547,1.1579282,22.930784
2007-07-01,7,0.14969,0.6436899,0.6652264,23.667822
2007-08-01,8,0.14549966,0.5892636,0.44135633,24.68781
2007-09-01,9,0.18449849,0.63312835,0.40513828,23.48205
2007-10-01,10,0.20876046,0.59840053,0.4927077,20.730713
2007-11-01,11,0.2704209,0.7101111,0.73053133,18.432638
2007-12-01,12,0.2969508,1.0939327,1.3393041,15.479632
2008-01-01,1,0.33770248,1.7979614,1.6128361,13.807377
2008-02-01,2,0.3750395,2.4660423,0.82651025,13.025541
2008-03-01,3,0.2717857,2.0762155,0.3172703,14.387989
