time,chl,no3,po4,o2,nppv,month
2000-01-01,0.10992745,,,,,1
2000-02-01,0.12222356,,,,,2
2000-03-01,0.12951297,,,,,3
2000-04-01,0.106677026,,,,,4
2000-05-01,0.06551668,,,,,5
2000-06-01,0.0534999,,,,,6
2000-07-01,0.045670982,,,,,7
2000-08-01,0.05713507,,,,,8
2000-09-01,0.06079908,,,,,9
2000-10-01,0.072395705,,,,,10
2000-11-01,0.08192946,,,,,11
2000-12-01,0.0961729,,,,,12
2001-01-01,0.112362936,1.1870637,0.019074127,233.64592,3.8455505,1
2001-02-01,0.115964666,1.1957425,0.01756474,238.25363,4.7358384,2
2001-03-01,0.11249644,1.1996559,0.015981216,241.43689,5.612494,3
2001-04-01,0.09232031,1.111263,0.010597691,240.33746,5.4867034,4
2001-05-01,0.06277748,1.0000528,0.009495342,238.09702,5.43258,5
2001-06-01,0.04697192,0.85723615,0.0047898735,231.4488,6.1023707,6
2001-07-01,0.042560663,0.66678643,0.005153569,224.12682,6.255441,7
2001-08-01,0.05018719,0.5681265,0.0052733407,225.80295,6.4914293,8
2001-09-01,0.049415685,0.61023134,0.0065257475,219.7866,6.086223,9
2001-10-01,0.069380544,0.64351875,0.0064597283,222.31961,4.86543,10
2001-11-01,0.08409826,0.80787075,0.006860414,227.54027,3.4352138,11
2001-12-01,0.09063271,1.0191983,0.013799874,232.8928,2.7753174,12
2002-01-01,0.12298479,1.26673,0.023147482,239.76057,4.3148155,1
2002-02-01,0.11972072,1.2209189,0.014905857,239.87155,5.2528996,2
2002-03-01,0.12128347,1.2724745,0.014436935,238.97894,5.9661255,3
2002-04-01,0.110287994,1.1194808,0.01096358,242.69402,6.3545375,4
2002-05-01,0.05860916,0.94212765,0.008216084,239.8046,6.0426993,5
2002-06-01,0.046502296,0.8453304,0.0048682927,231.36177,5.9775414,6
2002-07-01,0.045156185,0.65725034,0.0057201213,220.80136,7.234523,7
2002-08-01,0.046695597,0.55089927,0.006516745,215.25735,6.849628,8
2002-09-01,0.05895628,0.55883634,0.0065364772,218.58356,6.4466095,9
2002-10-01,0.072978005,0.58730567,0.00635471,218.99623,4.9408417,10
2002-11-01,0.08920715,0.77637506,0.0068850317,223.0858,3.807839,11
2002-12-01,0.12622271,0.9629666,0.009464736,229.29622,3.8959997,12
2003-01-01,0.115185596,1.1777219,0.019064613,231.7403,4.0153074,1
2003-02-01,0.13845111,1.2579919,0.021399666,239.72307,4.8865256,2
2003-03-01,0.13705704,1.231079,0.017956147,246.4371,5.7694454,3
2003-04-01,0.12934807,1.0503783,0.010061131,248.82741,6.7829366,4
2003-05-01,0.07125616,0.9602396,0.009797639,241.65823,7.60054,5
2003-06-01,0.053458855,0.8553555,0.005587555,231.55351,6.7793746,6
2003-07-01,0.04736002,0.75286704,0.004930714,226.74625,6.30825,7
2003-08-01,0.054595694,0.687787,0.006074462,225.03625,6.5069265,8
2003-09-01,0.05756716,0.69956124,0.005809428,222.95433,5.4387712,9
2003-10-01,0.07003601,0.7884744,0.006400141,223.98705,4.233158,10
2003-11-01,0.09458053,0.8777117,0.008241986,225.96855,3.9515033,11
2003-12-01,0.105984166,1.0509359,0.014984925,230.3691,3.6075115,12
2004-01-01,0.12096799,1.1819273,0.021278374,234.92789,4.019996,1
2004-02-01,0.14121926,1.2154788,0.019297974,241.78603,5.403722,2
2004-03-01,0.13102977,1.23438,0.01801933,245.22731,6.25925,3
2004-04-01,0.10127752,1.1554348,0.012772688,245.37392,5.954253,4
2004-05-01,0.074227236,1.0107945,0.010837434,241.30841,6.742637,5
2004-06-01,0.04986204,0.87167436,0.006179778,231.54414,6.4492035,6
2004-07-01,0.048477456,0.6922639,0.0067128157,230.18945,6.1755567,7
2004-08-01,0.048868846,0.57682776,0.0058037923,224.02069,6.6549773,8
2004-09-01,0.06202871,0.7011673,0.006227177,229.08888,5.1596775,9
2004-10-01,0.06603777,0.6899269,0.005994303,224.29004,4.5552487,10
2004-11-01,0.082631625,0.70509785,0.0069010397,220.9589,3.7443593,11
2004-12-01,0.106798805,0.8508666,0.0103210285,227.29646,3.6209702,12
2005-01-01,0.11728285,1.0714394,0.019150196,234.01686,4.2127542,1
2005-02-01,0.13821709,1.1828053,0.022339005,241.80745,5.1164546,2
2005-03-01,0.12943672,1.1323739,0.016448308,245.06506,6.217187,3
2005-04-01,0.107457586,1.0189725,0.011346672,246.14786,6.206045,4
2005-05-01,0.062773004,0.8963348,0.009221642,241.09361,6.2417994,5
2005-06-01,0.051398057,0.72852683,0.0050352756,234.35576,6.1830697,6
2005-07-01,0.047040556,0.5811776,0.0066131447,227.40631,6.9719777,7
2005-08-01,0.05147095,0.48728848,0.0062635383,226.42732,7.2708616,8
2005-09-01,0.055448428,0.51461893,0.0059556314,227.2383,5.6886163,9
2005-10-01,0.07894778,0.568066,0.006389753,226.92265,4.7781916,10
2005-11-01,0.116770074,0.8453818,0.010744334,234.2916,4.2433467,11
2005-12-01,0.12248407,1.0763153,0.018130394,237.56914,4.1337595,12
2006-01-01,0.12895212,1.1736606,0.024384437,243.56747,4.2211137,1
2006-02-01,0.13679706,1.2310216,0.024692815,247.66464,5.3403077,2
2006-03-01,0.15017015,1.2721529,0.025251938,246.54567,7.1441565,3
