time,chl,phyc,month
2000-01-01,0.11036731,0.33852956,1
2000-02-01,0.122965254,0.4442333,2
2000-03-01,0.13899325,0.5609847,3
2000-04-01,0.10068937,0.48445028,4
2000-05-01,0.06755168,0.3521096,5
2000-06-01,0.055910375,0.3192361,6
2000-07-01,0.04522769,0.29282305,7
2000-08-01,0.05743032,0.32937026,8
2000-09-01,0.060063872,0.31973147,9
2000-10-01,0.07407092,0.26117218,10
2000-11-01,0.083346374,0.2486072,11
2000-12-01,0.096692234,0.26798528,12
2001-01-01,0.12649193,0.38373423,1
2001-02-01,0.12067902,0.43179834,2
2001-03-01,0.112666935,0.45548028,3
2001-04-01,0.09443242,0.383152,4
2001-05-01,0.067280024,0.32288092,5
2001-06-01,0.04631797,0.28610927,6
2001-07-01,0.042112567,0.26985943,7
2001-08-01,0.04911496,0.28252792,8
2001-09-01,0.052405775,0.26512378,9
2001-10-01,0.0673451,0.23947704,10
2001-11-01,0.08362071,0.2322371,11
2001-12-01,0.09673358,0.26483086,12
2002-01-01,0.13179256,0.45513564,1
2002-02-01,0.12309933,0.4657901,2
2002-03-01,0.12441131,0.46923682,3
2002-04-01,0.11133333,0.45138046,4
2002-05-01,0.058972705,0.34304327,5
2002-06-01,0.046493135,0.27626947,6
2002-07-01,0.04420609,0.27709186,7
2002-08-01,0.046098065,0.23853543,8
2002-09-01,0.06028625,0.27959448,9
2002-10-01,0.07426133,0.239323,10
2002-11-01,0.085652955,0.22452533,11
2002-12-01,0.12724036,0.31756872,12
2003-01-01,0.1307254,0.38962623,1
2003-02-01,0.14299531,0.47552562,2
2003-03-01,0.13621463,0.5449823,3
2003-04-01,0.1360005,0.62339216,4
2003-05-01,0.073034585,0.4412529,5
2003-06-01,0.054571807,0.32502136,6
2003-07-01,0.047476865,0.2739731,7
2003-08-01,0.054684684,0.29806453,8
2003-09-01,0.05691553,0.26087528,9
2003-10-01,0.06819522,0.23165213,10
2003-11-01,0.092967905,0.2609077,11
2003-12-01,0.113363005,0.32210994,12
