month,sst,sst_max,chl,no3,phyc
1,14.194748,15.973601,0.35906753,1.3048368,1.7150887
2,13.701062,14.927302,0.3698525,1.0719752,2.02292
3,14.139103,15.3330145,0.3150502,0.7632458,1.9995593
4,15.621216,17.299257,0.25306877,0.5192188,1.7271632
5,18.869085,20.87297,0.16450606,0.40744886,1.1193326
6,22.436296,23.419859,0.14835772,0.36308935,0.804855
7,24.005781,25.357645,0.1663929,0.28520095,0.680362
8,24.5812,26.09033,0.17427835,0.26815137,0.64521164
9,23.239004,24.346539,0.18323869,0.33330375,0.611486
10,20.93982,22.990356,0.23088165,0.44407704,0.6453997
11,18.384983,19.917263,0.27452418,0.63034046,0.76545614
12,15.961297,17.672155,0.31315762,1.0844756,1.1553468
