time,po4,phyc,chl,o2,nppv,T,mld,month
2001-01-01,0.014619171,0.38373423,0.12649193,235.22261,4.2159295,15.896765,53.58244,1
2001-02-01,0.015335597,0.43179834,0.12067902,239.39554,4.9420195,15.428619,50.523575,2
2001-03-01,0.011907359,0.45548028,0.112666935,242.48166,5.692295,15.806558,39.628864,3
2001-04-01,0.009123133,0.383152,0.09443242,241.02728,5.675866,16.618763,35.49027,4
2001-05-01,0.009262033,0.32288092,0.067280024,238.53355,5.7122984,18.19648,16.653475,5
2001-06-01,0.004711211,0.28610927,0.04631797,232.08907,6.1985807,20.946829,12.589327,6
2001-07-01,0.004897985,0.26985943,0.042112567,226.78964,6.1388984,22.162628,11.874805,7
2001-08-01,0.004895578,0.28252792,0.04911496,228.53175,6.2465186,22.091625,11.9023,8
2001-09-01,0.006486583,0.26512378,0.052405775,220.37865,6.4812207,23.528727,16.6119,9
2001-10-01,0.006418022,0.23947704,0.0673451,223.68561,4.731778,21.136724,27.816133,10
2001-11-01,0.0063575488,0.2322371,0.08362071,228.2882,3.308723,18.315163,50.120064,11
2001-12-01,0.010474034,0.26483086,0.09673358,234.85907,2.8482068,16.124546,53.118435,12
2002-01-01,0.020047853,0.45513564,0.13179256,240.70499,4.5473413,14.938685,47.901276,1
2002-02-01,0.012077175,0.4657901,0.12309933,241.36797,5.374311,15.423155,45.92045,2
2002-03-01,0.011770404,0.46923682,0.12441131,239.6577,6.1842604,16.000053,48.24563,3
2002-04-01,0.010523358,0.45138046,0.11133333,243.11685,6.4434323,15.961648,34.14247,4
2002-05-01,0.008168616,0.34304327,0.058972705,240.24849,6.1565266,18.360498,13.158781,5
2002-06-01,0.004667213,0.27626947,0.046493135,232.99786,5.9602346,20.944817,11.948209,6
2002-07-01,0.0056736027,0.27709186,0.04420609,222.56168,7.092957,23.540127,11.823305,7
2002-08-01,0.006213918,0.23853543,0.046098065,217.42451,6.7001457,24.793812,11.858308,8
2002-09-01,0.006403462,0.27959448,0.06028625,220.49973,6.5825276,23.203983,16.021984,9
2002-10-01,0.006307731,0.239323,0.07426133,218.86299,4.991232,21.881012,40.356762,10
2002-11-01,0.006635052,0.22452533,0.085652955,223.3107,3.6540778,19.67264,56.884632,11
2002-12-01,0.00862229,0.31756872,0.12724036,229.61845,3.8537319,17.26403,54.950058,12
2003-01-01,0.0134085,0.38962623,0.1307254,233.65498,4.4314437,16.45113,52.916958,1
2003-02-01,0.019518575,0.47552562,0.14299531,240.5031,5.025688,15.026592,53.704773,2
2003-03-01,0.019960595,0.5449823,0.13621463,246.33455,5.7060685,14.253292,44.83205,3
2003-04-01,0.010750049,0.62339216,0.1360005,249.10475,7.223935,14.774669,34.436573,4
2003-05-01,0.008968462,0.4412529,0.073034585,243.70189,7.7356563,18.513105,12.200832,5
2003-06-01,0.0054786224,0.32502136,0.054571807,233.99352,6.833771,20.543983,11.866134,6
2003-07-01,0.004398489,0.2739731,0.047476865,230.32753,6.1638045,21.726498,11.82039,7
2003-08-01,0.006027468,0.29806453,0.054684684,226.96788,6.4353266,21.79136,11.858439,8
2003-09-01,0.005798039,0.26087528,0.05691553,223.98216,5.348159,21.468256,17.325447,9
2003-10-01,0.0063077677,0.23165213,0.06819522,224.26541,4.115697,20.365902,40.672638,10
2003-11-01,0.0075304788,0.2609077,0.092967905,226.44586,3.785534,18.655725,52.330486,11
2003-12-01,0.0118139,0.32210994,0.113363005,231.45088,3.7445161,16.89588,54.052853,12
2004-01-01,0.017566524,0.42366374,0.13076507,236.51564,4.287067,15.64425,51.640766,1
2004-02-01,0.017986821,0.50844043,0.13869305,242.42828,5.3514624,14.968711,46.48252,2
2004-03-01,0.016322475,0.55923045,0.13202517,245.85255,6.4053006,14.925557,45.28722,3
2004-04-01,0.0115191275,0.4266519,0.093068376,245.94504,5.5880265,15.691362,31.119936,4
2004-05-01,0.010392623,0.39052317,0.07286143,241.76439,6.7739677,17.988615,15.178269,5
2004-06-01,0.0062574293,0.292318,0.04885688,233.02577,6.3757353,21.105972,12.522234,6
2004-07-01,0.0061395564,0.28455955,0.049067043,233.03,5.962585,21.057331,11.818107,7
2004-08-01,0.0055564204,0.2908788,0.04785158,226.85674,6.475767,22.396515,12.079852,8
2004-09-01,0.006281795,0.27705455,0.06259436,230.71593,5.043289,20.21542,14.853558,9
2004-10-01,0.0058707185,0.25624377,0.06817825,225.43144,4.6384397,20.571142,29.301607,10
2004-11-01,0.006679492,0.2201437,0.08547211,221.42633,3.7995772,20.324297,53.78123,11
2004-12-01,0.008035071,0.29483458,0.115301825,227.8222,3.7478113,17.636116,53.653164,12
2005-01-01,0.014191751,0.4053483,0.13042168,235.4503,4.5332255,16.004631,52.923954,1
2005-02-01,0.01779651,0.53636914,0.14956751,243.41562,5.552523,14.815735,51.397404,2
2005-03-01,0.013629191,0.5721632,0.136917,245.75928,6.6052356,14.982705,47.152126,3
2005-04-01,0.0112930825,0.4624022,0.10435042,246.56845,6.204202,15.730712,29.28546,4
2005-05-01,0.008622327,0.34552345,0.05966927,241.64832,6.0665846,18.445978,14.899303,5
2005-06-01,0.0048585823,0.30882823,0.05219606,235.75066,6.237653,20.267454,11.817852,6
2005-07-01,0.006134829,0.30505934,0.04691071,230.32597,6.9211645,22.248018,11.830101,7
2005-08-01,0.005996187,0.30909652,0.05119214,228.63007,7.228036,22.8687,11.836529,8
2005-09-01,0.005918222,0.28539822,0.053940933,228.41364,5.492162,21.132412,12.557411,9
2005-10-01,0.006448059,0.25938603,0.07492166,227.5222,4.4816236,19.997541,32.063515,10
2005-11-01,0.01044917,0.35317227,0.119722195,235.12994,4.4021688,16.930965,52.22112,11
2005-12-01,0.015170331,0.40673658,0.12933777,238.67342,4.2998457,15.763284,53.55052,12
2006-01-01,0.024916727,0.46507257,0.13022383,243.88376,4.250371,14.413876,55.228237,1
2006-02-01,0.020753728,0.5861664,0.13638783,249.14687,5.360849,13.830997,43.249237,2
2006-03-01,0.017898094,0.7475276,0.16322584,248.05162,7.909229,14.471652,47.633915,3
2006-04-01,0.008548485,0.5310968,0.11748729,247.96454,6.962649,15.553977,27.056341,4
2006-05-01,0.00871929,0.3652558,0.072734386,243.76047,6.1610518,17.553394,17.452333,5
2006-06-01,0.0046545984,0.31794444,0.052415524,235.91579,6.4880924,20.436754,12.11769,6
2006-07-01,0.0046175593,0.32980943,0.0640601,239.10202,5.6939874,18.932524,11.967683,7
2006-08-01,0.0056731203,0.32470775,0.052970912,226.01703,7.623081,22.934015,11.830835,8
2006-09-01,0.0055143517,0.30098742,0.06372874,227.1487,5.773172,21.005478,13.373535,9
2006-10-01,0.006047244,0.2867035,0.08407985,225.85292,5.0984006,20.43338,31.50829,10
2006-11-01,0.0069014346,0.2718367,0.10015845,226.1558,3.9508007,18.407467,56.583977,11
2006-12-01,0.009416002,0.33681935,0.12082947,230.40907,4.181224,16.974611,55.673523,12
2007-01-01,0.013479033,0.45086884,0.13827924,238.58403,4.820543,15.363841,50.850937,1
2007-02-01,0.022878492,0.5864589,0.15126552,244.8159,5.882046,14.50641,51.685814,2
2007-03-01,0.023856653,0.6338826,0.14133564,247.52777,7.0530677,14.555328,43.171524,3
2007-04-01,0.017333351,0.68643594,0.15080664,248.91835,8.308064,14.965322,30.313728,4
2007-05-01,0.00940522,0.47491074,0.08665644,244.10048,7.961899,17.953573,13.484593,5
2007-06-01,0.006342748,0.3374009,0.0578765,231.25673,7.8786464,22.153744,11.8108835,6
2007-07-01,0.0054711094,0.3001455,0.050281692,232.6156,6.2620893,21.18128,11.821219,7
2007-08-01,0.0055546,0.31864938,0.055119317,229.05211,7.223321,22.498856,11.8216505,8
2007-09-01,0.006106457,0.3174606,0.06583521,225.77367,6.89139,22.111038,12.594251,9
2007-10-01,0.0062066307,0.27815032,0.07748303,225.61647,4.940859,20.410757,31.291218,10
2007-11-01,0.00704249,0.25921747,0.09932359,223.60417,4.054361,19.287592,54.882656,11
2007-12-01,0.009580801,0.3564559,0.12847078,231.63307,4.192114,16.721203,56.035683,12
2008-01-01,0.015299938,0.47145736,0.14496504,235.98515,5.0075254,15.566995,50.593327,1
2008-02-01,0.019152915,0.5599901,0.14902143,243.48947,5.778944,14.709817,45.42797,2
2008-03-01,0.015376744,0.6048025,0.14087142,244.30965,7.332046,15.422279,43.480446,3
2008-04-01,0.010333551,0.5507187,0.1405996,243.95425,7.8673935,16.176834,34.621918,4
2008-05-01,0.008915247,0.3505456,0.06598916,240.93317,6.3333755,18.265188,14.480217,5
2008-06-01,0.0064701918,0.30862272,0.049151074,234.82274,6.503397,20.786663,11.883839,6
2008-07-01,0.00674731,0.30754527,0.050778795,234.7139,6.2217593,20.68783,11.842489,7
2008-08-01,0.0057227756,0.33671618,0.05949031,231.47966,6.9480457,21.329351,11.831639,8
2008-09-01,0.0064872196,0.31344232,0.065429345,226.43974,6.5493793,21.82539,15.40489,9
2008-10-01,0.006992621,0.24932784,0.076375045,225.51599,4.504045,20.423756,35.64303,10
2008-11-01,0.007513373,0.28097993,0.102128305,226.41266,4.234068,18.871288,52.928432,11
2008-12-01,0.011381285,0.30911845,0.11404811,230.31432,3.781499,17.333076,55.393074,12
2009-01-01,0.012606584,0.4163917,0.13334215,238.31154,4.4076986,15.671959,50.89264,1
2009-02-01,0.015547943,0.50159645,0.1456406,239.4601,5.622575,15.546183,52.62915,2
2009-03-01,0.012147783,0.5442246,0.13551915,243.02538,6.5545187,15.2850485,47.858456,3
2009-04-01,0.008655435,0.47453642,0.10623716,244.10649,6.588992,16.094328,28.210926,4
2009-05-01,0.0074322913,0.36704284,0.06693799,240.84018,6.6107855,18.584602,14.154163,5
2009-06-01,0.004205267,0.3198383,0.053503644,233.25804,6.989464,21.22775,12.723938,6
2009-07-01,0.004282299,0.30857533,0.055579755,227.64998,7.401575,22.587027,11.95372,7
2009-08-01,0.005009232,0.29865503,0.061197944,233.10309,5.7917085,20.497498,12.004032,8
2009-09-01,0.0060291826,0.31300506,0.06840707,227.38136,5.9323816,20.687984,12.651239,9
2009-10-01,0.006167178,0.26356167,0.075198546,223.7496,4.976089,20.968508,36.349815,10
2009-11-01,0.007297458,0.25814974,0.09847285,223.80255,4.1492615,19.380768,54.211716,11
2009-12-01,0.009989663,0.2870714,0.11167742,226.72871,3.8563986,18.23526,54.114075,12
2010-01-01,0.012694638,0.33889097,0.12048821,231.5162,4.202931,17.122328,54.700542,1
2010-02-01,0.014761251,0.48567075,0.14783214,237.15506,5.9066925,16.171041,50.579025,2
2010-03-01,0.009444378,0.5259706,0.14774287,240.39848,6.905491,15.964107,44.603886,3
2010-04-01,0.008806879,0.4127916,0.096124,241.0488,6.416947,16.972612,28.311913,4
2010-05-01,0.006796522,0.37537134,0.07084567,237.52377,7.2568297,19.518639,15.171091,5
2010-06-01,0.0042838287,0.31214118,0.051398218,227.04951,7.4919744,22.595497,12.4285145,6
2010-07-01,0.0033194725,0.28413337,0.053355582,230.50374,6.668117,22.169092,11.841435,7
2010-08-01,0.0054925084,0.30908775,0.057061657,223.57686,8.200475,24.048721,11.829564,8
2010-09-01,0.005916094,0.3026678,0.06596903,223.37021,6.977662,22.776783,13.444388,9
2010-10-01,0.006256836,0.26121196,0.08263425,222.34456,5.1112404,21.247234,28.366976,10
2010-11-01,0.006912874,0.24602363,0.094864964,223.74919,4.1750426,20.012314,54.883636,11
2010-12-01,0.008493676,0.2556589,0.100824684,227.61417,3.5760617,18.40077,54.76421,12
2011-01-01,0.011110109,0.39792854,0.146059,232.55087,4.8897023,16.678524,54.565365,1
2011-02-01,0.01116287,0.48013362,0.14580037,238.37675,5.821179,15.70152,48.25517,2
2011-03-01,0.013728386,0.46044177,0.12896164,241.71451,5.7675653,15.458151,42.915985,3
2011-04-01,0.009768845,0.43105125,0.11152958,243.50087,6.06761,15.865587,39.734142,4
2011-05-01,0.007902628,0.3821072,0.080665745,240.56825,6.7434015,18.108873,18.887173,5
2011-06-01,0.005469537,0.33102697,0.05355897,233.61752,7.380876,21.215017,11.808364,6
2011-07-01,0.004322125,0.30542502,0.051880904,225.57343,7.7492304,23.15621,11.825623,7
2011-08-01,0.004151656,0.2846043,0.058441445,227.46877,6.234364,21.661839,12.298769,8
2011-09-01,0.0054908176,0.2992388,0.06611051,222.83911,6.4992876,22.07585,15.257324,9
