date,T_surface_C
2001-01-01,15.896765
2001-02-01,15.428619
2001-03-01,15.806558
2001-04-01,16.618763
2001-05-01,18.19648
2001-06-01,20.946829
2001-07-01,22.162628
2001-08-01,22.091625
2001-09-01,23.528727
2001-10-01,21.136724
2001-11-01,18.315163
2001-12-01,16.124546
2002-01-01,14.938685
2002-02-01,15.423155
2002-03-01,16.000053
2002-04-01,15.961648
2002-05-01,18.360498
2002-06-01,20.944817
2002-07-01,23.540127
2002-08-01,24.793812
2002-09-01,23.203983
2002-10-01,21.881012
2002-11-01,19.67264
2002-12-01,17.26403
2003-01-01,16.45113
2003-02-01,15.026592
2003-03-01,14.253292
2003-04-01,14.774669
2003-05-01,18.513105
2003-06-01,20.543983
2003-07-01,21.726498
2003-08-01,21.79136
2003-09-01,21.468256
2003-10-01,20.365902
2003-11-01,18.655725
2003-12-01,16.89588
2004-01-01,15.64425
2004-02-01,14.968711
2004-03-01,14.925557
2004-04-01,15.691362
2004-05-01,17.988615
2004-06-01,21.105972
2004-07-01,21.057331
2004-08-01,22.396515
2004-09-01,20.21542
2004-10-01,20.571142
2004-11-01,20.324297
2004-12-01,17.636116
2005-01-01,16.004631
2005-02-01,14.815735
2005-03-01,14.982705
2005-04-01,15.730712
2005-05-01,18.445978
2005-06-01,20.267454
2005-07-01,22.248018
2005-08-01,22.8687
2005-09-01,21.132412
2005-10-01,19.997541
2005-11-01,16.930965
2005-12-01,15.763284
2006-01-01,14.413876
2006-02-01,13.830997
2006-03-01,14.471652
2006-04-01,15.553977
2006-05-01,17.553394
2006-06-01,20.436754
2006-07-01,18.932524
2006-08-01,22.934015
2006-09-01,21.005478
2006-10-01,20.43338
2006-11-01,18.407467
2006-12-01,16.974611
2007-01-01,15.363841
2007-02-01,14.50641
2007-03-01,14.555328
2007-04-01,14.965322
2007-05-01,17.953573
2007-06-01,22.153744
2007-07-01,21.18128
2007-08-01,22.498856
2007-09-01,22.111038
2007-10-01,20.410757
2007-11-01,19.287592
2007-12-01,16.721203
2008-01-01,15.566995
2008-02-01,14.709817
2008-03-01,15.422279
2008-04-01,16.176834
2008-05-01,18.265188
2008-06-01,20.786663
2008-07-01,20.68783
