time,chl,year,month
2001-01-01,0.12649193,2001,1
2001-02-01,0.12067902,2001,2
2001-03-01,0.112666935,2001,3
2001-04-01,0.09443242,2001,4
2001-05-01,0.067280024,2001,5
2001-06-01,0.04631797,2001,6
2001-07-01,0.042112567,2001,7
2001-08-01,0.04911496,2001,8
2001-09-01,0.052405775,2001,9
2001-10-01,0.0673451,2001,10
2001-11-01,0.08362071,2001,11
2001-12-01,0.09673358,2001,12
2002-01-01,0.13179256,2002,1
2002-02-01,0.12309933,2002,2
2002-03-01,0.12441131,2002,3
2002-04-01,0.11133333,2002,4
2002-05-01,0.058972705,2002,5
2002-06-01,0.046493135,2002,6
2002-07-01,0.04420609,2002,7
2002-08-01,0.046098065,2002,8
2002-09-01,0.06028625,2002,9
2002-10-01,0.07426133,2002,10
2002-11-01,0.085652955,2002,11
2002-12-01,0.12724036,2002,12
2003-01-01,0.1307254,2003,1
2003-02-01,0.14299531,2003,2
2003-03-01,0.13621463,2003,3
2003-04-01,0.1360005,2003,4
2003-05-01,0.073034585,2003,5
2003-06-01,0.054571807,2003,6
2003-07-01,0.047476865,2003,7
2003-08-01,0.054684684,2003,8
2003-09-01,0.05691553,2003,9
2003-10-01,0.06819522,2003,10
2003-11-01,0.092967905,2003,11
2003-12-01,0.113363005,2003,12
2004-01-01,0.13076507,2004,1
2004-02-01,0.13869305,2004,2
2004-03-01,0.13202517,2004,3
2004-04-01,0.093068376,2004,4
2004-05-01,0.07286143,2004,5
2004-06-01,0.04885688,2004,6
2004-07-01,0.049067043,2004,7
2004-08-01,0.04785158,2004,8
2004-09-01,0.06259436,2004,9
2004-10-01,0.06817825,2004,10
2004-11-01,0.08547211,2004,11
2004-12-01,0.115301825,2004,12
2005-01-01,0.13042168,2005,1
2005-02-01,0.14956751,2005,2
2005-03-01,0.136917,2005,3
2005-04-01,0.10435042,2005,4
2005-05-01,0.05966927,2005,5
2005-06-01,0.05219606,2005,6
2005-07-01,0.04691071,2005,7
2005-08-01,0.05119214,2005,8
2005-09-01,0.053940933,2005,9
2005-10-01,0.07492166,2005,10
2005-11-01,0.119722195,2005,11
2005-12-01,0.12933777,2005,12
2006-01-01,0.13022383,2006,1
2006-02-01,0.13638783,2006,2
2006-03-01,0.16322584,2006,3
2006-04-01,0.11748729,2006,4
2006-05-01,0.072734386,2006,5
2006-06-01,0.052415524,2006,6
2006-07-01,0.0640601,2006,7
2006-08-01,0.052970912,2006,8
2006-09-01,0.06372874,2006,9
2006-10-01,0.08407985,2006,10
2006-11-01,0.10015845,2006,11
2006-12-01,0.12082947,2006,12
2007-01-01,0.13827924,2007,1
2007-02-01,0.15126552,2007,2
2007-03-01,0.14133564,2007,3
2007-04-01,0.15080664,2007,4
2007-05-01,0.08665644,2007,5
2007-06-01,0.0578765,2007,6
2007-07-01,0.050281692,2007,7
2007-08-01,0.055119317,2007,8
2007-09-01,0.06583521,2007,9
2007-10-01,0.07748303,2007,10
2007-11-01,0.09932359,2007,11
2007-12-01,0.12847078,2007,12
2008-01-01,0.14496504,2008,1
2008-02-01,0.14902143,2008,2
2008-03-01,0.14087142,2008,3
2008-04-01,0.1405996,2008,4
2008-05-01,0.06598916,2008,5
2008-06-01,0.049151074,2008,6
2008-07-01,0.050778795,2008,7
2008-08-01,0.05949031,2008,8
2008-09-01,0.065429345,2008,9
2008-10-01,0.076375045,2008,10
2008-11-01,0.102128305,2008,11
2008-12-01,0.11404811,2008,12
2009-01-01,0.13334215,2009,1
2009-02-01,0.1456406,2009,2
2009-03-01,0.13551915,2009,3
2009-04-01,0.10623716,2009,4
2009-05-01,0.06693799,2009,5
2009-06-01,0.053503644,2009,6
2009-07-01,0.055579755,2009,7
2009-08-01,0.061197944,2009,8
2009-09-01,0.06840707,2009,9
2009-10-01,0.075198546,2009,10
2009-11-01,0.09847285,2009,11
