month,sst,sst_max,chl,no3,phyc
1,15.845304,17.975365,0.13536035,1.0271062,0.41730917
2,15.27883,16.79687,0.14384133,1.1091537,0.5126654
3,15.343305,16.335093,0.13447298,1.080002,0.53441685
4,16.225609,17.556309,0.112054825,0.9732128,0.47753003
5,18.76964,20.20087,0.069725126,0.83460236,0.37367553
6,21.462465,22.595497,0.053717736,0.7117822,0.31887424
7,21.675938,24.08537,0.0552956,0.6028057,0.3035949
8,22.351555,24.793812,0.05809138,0.51872706,0.31224322
9,22.024641,23.528727,0.06584726,0.51375675,0.30867884
10,20.74101,22.85707,0.080540955,0.58577394,0.27186146
11,18.935574,20.324297,0.102928,0.71797186,0.2758702
12,17.247301,18.744904,0.11691897,0.87224466,0.31405967
