time,sst,phyc,year,month
2001-01-01,15.896765,0.38373423,2001,1
2001-02-01,15.428619,0.43179834,2001,2
2001-03-01,15.806558,0.45548028,2001,3
2001-04-01,16.618763,0.383152,2001,4
2001-05-01,18.19648,0.32288092,2001,5
2001-06-01,20.946829,0.28610927,2001,6
2001-07-01,22.162628,0.26985943,2001,7
2001-08-01,22.091625,0.28252792,2001,8
2001-09-01,23.528727,0.26512378,2001,9
2001-10-01,21.136724,0.23947704,2001,10
2001-11-01,18.315163,0.2322371,2001,11
2001-12-01,16.124546,0.26483086,2001,12
2002-01-01,14.938685,0.45513564,2002,1
2002-02-01,15.423155,0.4657901,2002,2
2002-03-01,16.000053,0.46923682,2002,3
2002-04-01,15.961648,0.45138046,2002,4
2002-05-01,18.360498,0.34304327,2002,5
2002-06-01,20.944817,0.27626947,2002,6
2002-07-01,23.540127,0.27709186,2002,7
2002-08-01,24.793812,0.23853543,2002,8
2002-09-01,23.203983,0.27959448,2002,9
2002-10-01,21.881012,0.239323,2002,10
2002-11-01,19.67264,0.22452533,2002,11
2002-12-01,17.26403,0.31756872,2002,12
2003-01-01,16.45113,0.38962623,2003,1
2003-02-01,15.026592,0.47552562,2003,2
2003-03-01,14.253292,0.5449823,2003,3
2003-04-01,14.774669,0.62339216,2003,4
2003-05-01,18.513105,0.4412529,2003,5
2003-06-01,20.543983,0.32502136,2003,6
2003-07-01,21.726498,0.2739731,2003,7
2003-08-01,21.79136,0.29806453,2003,8
2003-09-01,21.468256,0.26087528,2003,9
2003-10-01,20.365902,0.23165213,2003,10
2003-11-01,18.655725,0.2609077,2003,11
2003-12-01,16.89588,0.32210994,2003,12
2004-01-01,15.64425,0.42366374,2004,1
2004-02-01,14.968711,0.50844043,2004,2
2004-03-01,14.925557,0.55923045,2004,3
2004-04-01,15.691362,0.4266519,2004,4
2004-05-01,17.988615,0.39052317,2004,5
2004-06-01,21.105972,0.292318,2004,6
2004-07-01,21.057331,0.28455955,2004,7
2004-08-01,22.396515,0.2908788,2004,8
2004-09-01,20.21542,0.27705455,2004,9
2004-10-01,20.571142,0.25624377,2004,10
2004-11-01,20.324297,0.2201437,2004,11
2004-12-01,17.636116,0.29483458,2004,12
2005-01-01,16.004631,0.4053483,2005,1
2005-02-01,14.815735,0.53636914,2005,2
2005-03-01,14.982705,0.5721632,2005,3
2005-04-01,15.730712,0.4624022,2005,4
2005-05-01,18.445978,0.34552345,2005,5
2005-06-01,20.267454,0.30882823,2005,6
2005-07-01,22.248018,0.30505934,2005,7
2005-08-01,22.8687,0.30909652,2005,8
2005-09-01,21.132412,0.28539822,2005,9
2005-10-01,19.997541,0.25938603,2005,10
2005-11-01,16.930965,0.35317227,2005,11
2005-12-01,15.763284,0.40673658,2005,12
2006-01-01,14.413876,0.46507257,2006,1
2006-02-01,13.830997,0.5861664,2006,2
2006-03-01,14.471652,0.7475276,2006,3
2006-04-01,15.553977,0.5310968,2006,4
2006-05-01,17.553394,0.3652558,2006,5
2006-06-01,20.436754,0.31794444,2006,6
2006-07-01,18.932524,0.32980943,2006,7
2006-08-01,22.934015,0.32470775,2006,8
2006-09-01,21.005478,0.30098742,2006,9
2006-10-01,20.43338,0.2867035,2006,10
2006-11-01,18.407467,0.2718367,2006,11
2006-12-01,16.974611,0.33681935,2006,12
2007-01-01,15.363841,0.45086884,2007,1
2007-02-01,14.50641,0.5864589,2007,2
2007-03-01,14.555328,0.6338826,2007,3
2007-04-01,14.965322,0.68643594,2007,4
2007-05-01,17.953573,0.47491074,2007,5
2007-06-01,22.153744,0.3374009,2007,6
2007-07-01,21.18128,0.3001455,2007,7
2007-08-01,22.498856,0.31864938,2007,8
2007-09-01,22.111038,0.3174606,2007,9
2007-10-01,20.410757,0.27815032,2007,10
2007-11-01,19.287592,0.25921747,2007,11
2007-12-01,16.721203,0.3564559,2007,12
2008-01-01,15.566995,0.47145736,2008,1
2008-02-01,14.709817,0.5599901,2008,2
2008-03-01,15.422279,0.6048025,2008,3
2008-04-01,16.176834,0.5507187,2008,4
2008-05-01,18.265188,0.3505456,2008,5
2008-06-01,20.786663,0.30862272,2008,6
2008-07-01,20.68783,0.30754527,2008,7
2008-08-01,21.329351,0.33671618,2008,8
2008-09-01,21.82539,0.31344232,2008,9
2008-10-01,20.423756,0.24932784,2008,10
2008-11-01,18.871288,0.28097993,2008,11
2008-12-01,17.333076,0.30911845,2008,12
2009-01-01,15.671959,0.4163917,2009,1
2009-02-01,15.546183,0.50159645,2009,2
2009-03-01,15.2850485,0.5442246,2009,3
2009-04-01,16.094328,0.47453642,2009,4
2009-05-01,18.584602,0.36704284,2009,5
2009-06-01,21.22775,0.3198383,2009,6
2009-07-01,22.587027,0.30857533,2009,7
2009-08-01,20.497498,0.29865503,2009,8
2009-09-01,20.687984,0.31300506,2009,9
2009-10-01,20.968508,0.26356167,2009,10
2009-11-01,19.380768,0.25814974,2009,11
2009-12-01,18.23526,0.2870714,2009,12
2010-01-01,17.122328,0.33889097,2010,1
2010-02-01,16.171041,0.48567075,2010,2
2010-03-01,15.964107,0.5259706,2010,3
2010-04-01,16.972612,0.4127916,2010,4
2010-05-01,19.518639,0.37537134,2010,5
2010-06-01,22.595497,0.31214118,2010,6
2010-07-01,22.169092,0.28413337,2010,7
2010-08-01,24.048721,0.30908775,2010,8
2010-09-01,22.776783,0.3026678,2010,9
2010-10-01,21.247234,0.26121196,2010,10
2010-11-01,20.012314,0.24602363,2010,11
2010-12-01,18.40077,0.2556589,2010,12
2011-01-01,16.678524,0.39792854,2011,1
2011-02-01,15.70152,0.48013362,2011,2
2011-03-01,15.458151,0.46044177,2011,3
2011-04-01,15.865587,0.43105125,2011,4
2011-05-01,18.108873,0.3821072,2011,5
2011-06-01,21.215017,0.33102697,2011,6
2011-07-01,23.15621,0.30542502,2011,7
2011-08-01,21.661839,0.2846043,2011,8
2011-09-01,22.07585,0.2992388,2011,9
2011-10-01,20.869444,0.24803542,2011,10
2011-11-01,17.852875,0.2854543,2011,11
2011-12-01,16.763136,0.35177308,2011,12
2012-01-01,15.13792,0.46308312,2012,1
2012-02-01,14.568748,0.550099,2012,2
2012-03-01,14.52244,0.5680617,2012,3
2012-04-01,16.458158,0.4613527,2012,4
2012-05-01,19.517826,0.3782822,2012,5
2012-06-01,21.876925,0.30719686,2012,6
2012-07-01,21.598457,0.2954038,2012,7
2012-08-01,21.41231,0.2942356,2012,8
2012-09-01,21.367794,0.30617473,2012,9
2012-10-01,21.752876,0.28611726,2012,10
2012-11-01,20.08539,0.23559867,2012,11
2012-12-01,17.61859,0.3271846,2012,12
2013-01-01,16.300861,0.3979882,2013,1
2013-02-01,15.786996,0.55027515,2013,2
2013-03-01,15.898603,0.5578611,2013,3
2013-04-01,16.69037,0.4670211,2013,4
2013-05-01,19.52026,0.37266296,2013,5
2013-06-01,22.072088,0.30722788,2013,6
2013-07-01,20.386782,0.26205295,2013,7
2013-08-01,21.845158,0.3148573,2013,8
2013-09-01,22.2893,0.28900883,2013,9
2013-10-01,20.517368,0.24695605,2013,10
2013-11-01,19.137953,0.25200856,2013,11
